,Username,Repo_name,Stars,Repo_url
0,sindresorhus,awesome,176k,https://github.com/topics/3d/sindresorhus/awesome
1,vinta,awesome-python,108k,https://github.com/topics/ajax/vinta/awesome-python
2,avelino,awesome-go,70.9k,https://github.com/topics/algorithm/avelino/awesome-go
3,awesome-selfhosted,awesome-selfhosted,68.2k,https://github.com/topics/amphp/awesome-selfhosted/awesome-selfhosted
4,trimstray,the-book-of-secret-knowledge,53.1k,https://github.com/topics/android/trimstray/the-book-of-secret-knowledge
5,papers-we-love,papers-we-love,50k,https://github.com/topics/angular/papers-we-love/papers-we-love
6,521xueweihan,HelloGitHub,48.4k,https://github.com/topics/ansible/521xueweihan/HelloGitHub
7,Hack-with-Github,Awesome-Hacking,47.7k,https://github.com/topics/api/Hack-with-Github/Awesome-Hacking
8,jaywcjlove,awesome-mac,46.2k,https://github.com/topics/arduino/jaywcjlove/awesome-mac
9,DopplerHQ,awesome-interview-questions,44.1k,https://github.com/topics/aspnet/DopplerHQ/awesome-interview-questions
10,sindresorhus,awesome-nodejs,43k,https://github.com/topics/atom/sindresorhus/awesome-nodejs
11,wasabeef,awesome-android-ui,41.7k,https://github.com/topics/awesome/wasabeef/awesome-android-ui
12,vsouza,awesome-ios,38.6k,https://github.com/topics/aws/vsouza/awesome-ios
13,prakhar1989,awesome-courses,38.5k,https://github.com/topics/azure/prakhar1989/awesome-courses
14,Solido,awesome-flutter,38.2k,https://github.com/topics/babel/Solido/awesome-flutter
15,binhnguyennus,awesome-scalability,36.5k,https://github.com/topics/bash/binhnguyennus/awesome-scalability
16,MunGell,awesome-for-beginners,36.4k,https://github.com/topics/bitcoin/MunGell/awesome-for-beginners
17,fffaraz,awesome-cpp,34.7k,https://github.com/topics/bootstrap/fffaraz/awesome-cpp
18,tiimgreen,github-cheat-sheet,33.5k,https://github.com/topics/bot/tiimgreen/github-cheat-sheet
19,dypsilon,frontend-dev-bookmarks,32.8k,https://github.com/topics/c/dypsilon/frontend-dev-bookmarks
20,akullpp,awesome-java,30.6k,https://github.com/topics/chrome/akullpp/awesome-java
21,serhii-londar,open-source-mac-os-apps,28.7k,https://github.com/topics/chrome-extension/serhii-londar/open-source-mac-os-apps
22,dkhamsing,open-source-ios-apps,28.6k,https://github.com/topics/cli/dkhamsing/open-source-ios-apps
23,brillout,awesome-react-components,28.5k,https://github.com/topics/clojure/brillout/awesome-react-components
24,ziadoz,awesome-php,25.9k,https://github.com/topics/code-quality/ziadoz/awesome-php
25,herrbischoff,awesome-macos-command-line,25.6k,https://github.com/topics/code-review/herrbischoff/awesome-macos-command-line
26,goabstract,Awesome-Design-Tools,23.6k,https://github.com/topics/compiler/goabstract/Awesome-Design-Tools
27,rust-unofficial,awesome-rust,22.7k,https://github.com/topics/continuous-integration/rust-unofficial/awesome-rust
28,alebcay,awesome-shell,22.5k,https://github.com/topics/covid-19/alebcay/awesome-shell
29,sindresorhus,awesome-electron,22.1k,https://github.com/topics/cpp/sindresorhus/awesome-electron
