,Username,Repo_name,Stars,Repo_url
0,arendst,Tasmota,16.4k,https://github.com/topics/3d/arendst/Tasmota
1,rwaldron,johnny-five,12.5k,https://github.com/topics/ajax/rwaldron/johnny-five
2,arduino,Arduino,12.2k,https://github.com/topics/algorithm/arduino/Arduino
3,MarlinFirmware,Marlin,12.1k,https://github.com/topics/amphp/MarlinFirmware/Marlin
4,SpacehuhnTech,esp8266_deauther,9.2k,https://github.com/topics/android/SpacehuhnTech/esp8266_deauther
5,tinygo-org,tinygo,8.9k,https://github.com/topics/angular/tinygo-org/tinygo
6,espressif,arduino-esp32,7.6k,https://github.com/topics/ansible/espressif/arduino-esp32
7,hybridgroup,gobot,7.4k,https://github.com/topics/api/hybridgroup/gobot
8,gurugio,lowlevelprogramming-university,7.2k,https://github.com/topics/arduino/gurugio/lowlevelprogramming-university
9,platformio,platformio-core,5.5k,https://github.com/topics/aspnet/platformio/platformio-core
10,bblanchon,ArduinoJson,5.4k,https://github.com/topics/atom/bblanchon/ArduinoJson
11,tzapu,WiFiManager,4.9k,https://github.com/topics/awesome/tzapu/WiFiManager
12,hybridgroup,cylon,3.8k,https://github.com/topics/aws/hybridgroup/cylon
13,Arduino-IRremote,Arduino-IRremote,3.4k,https://github.com/topics/azure/Arduino-IRremote/Arduino-IRremote
14,blynkkk,blynk-library,3.3k,https://github.com/topics/babel/blynkkk/blynk-library
15,arduino,arduino-cli,3.1k,https://github.com/topics/bash/arduino/arduino-cli
16,NectarJS,nectarjs,3.1k,https://github.com/topics/bitcoin/NectarJS/nectarjs
17,olikraus,u8g2,2.7k,https://github.com/topics/bootstrap/olikraus/u8g2
18,gioblu,PJON,2.6k,https://github.com/topics/bot/gioblu/PJON
19,1technophile,OpenMQTTGateway,2.4k,https://github.com/topics/c/1technophile/OpenMQTTGateway
20,scottlawsonbc,audio-reactive-led-strip,2.2k,https://github.com/topics/chrome/scottlawsonbc/audio-reactive-led-strip
21,isl-org,OpenBot,2k,https://github.com/topics/chrome-extension/isl-org/OpenBot
22,crankyoldgit,IRremoteESP8266,1.9k,https://github.com/topics/cli/crankyoldgit/IRremoteESP8266
23,Serial-Studio,Serial-Studio,1.9k,https://github.com/topics/clojure/Serial-Studio/Serial-Studio
24,scottbez1,splitflap,1.9k,https://github.com/topics/code-quality/scottbez1/splitflap
25,nRF24,RF24,1.8k,https://github.com/topics/code-review/nRF24/RF24
26,stm32duino,Arduino_Core_STM32,1.7k,https://github.com/topics/compiler/stm32duino/Arduino_Core_STM32
27,blinker-iot,blinker-library,1.6k,https://github.com/topics/continuous-integration/blinker-iot/blinker-library
28,ThingPulse,esp8266-oled-ssd1306,1.6k,https://github.com/topics/covid-19/ThingPulse/esp8266-oled-ssd1306
29,Bodmer,TFT_eSPI,1.5k,https://github.com/topics/cpp/Bodmer/TFT_eSPI
